2020/12/07 18:54:49,11700,하강,0.0,28018
2020/12/07 19:19:56,11700,하락,(0.0%),28018
2020/12/09 14:51:46,11700,하락,(-0.43%),15674
2020/12/09 14:59:39,11700,하락,(-0.43%),16327
2020/12/09 15:14:49,11700,하락,(-0.43%),17868
2020/12/09 15:30:56,11750,하락,(0.0%),17971
2020/12/09 16:50:51,11750,하락,(0.0%),18602
2020/12/09 16:53:38,11750,하락,(0.0%),18602
2020/12/11 16:28:00,12150,상승,(3.4%),115370
2020/12/11 16:44:53,12150,상승,(3.4%),115370
2020/12/12 05:34:20,12150,상승,(3.4%),115370
2020/12/12 05:36:12,12150,상승,(3.4%),115370
2020/12/14 14:38:17,12050,하락,(-0.82%),29296
2020/12/14 14:50:56,12100,하락,(-0.41%),30484
2020/12/14 15:04:47,12050,하락,(-0.82%),30649
2020/12/14 15:19:23,12050,하락,(-0.82%),32272
2020/12/14 15:34:16,12100,하락,(-0.41%),33049
2020/12/14 16:10:04,12100,하락,(-0.41%),33049
2020/12/14 16:24:50,12100,하락,(-0.41%),33049
2020/12/14 16:57:52,12100,하락,(-0.41%),33049
2020/12/22 00:01:05,12100,보합,(0.41%),17343
2021/01/04 14:30:45,12200,하락,(-1.61%),25643
2021/01/04 14:43:50,12200,하락,(-1.61%),33672
