2020/12/07 00:08:53,15800,하락,150,45203
2020/12/07 11:39:36,16100,상승,300,30094
2020/12/07 18:51:19,16300,상승,3.164556962025311,110312
2020/12/07 19:15:18,16300,상승,(3.16%),110312
2020/12/09 14:48:10,15800,보합,(0.32%),21505
2020/12/09 14:55:59,15800,보합,(0.32%),21604
2020/12/09 15:12:05,15850,보합,(0.63%),22078
2020/12/09 15:27:18,15850,보합,(0.63%),22093
2020/12/09 16:11:14,15800,보합,(0.32%),22675
2020/12/09 16:47:24,15800,보합,(0.32%),22675
2020/12/09 16:51:00,15800,보합,(0.32%),22675
2020/12/11 16:23:39,16050,보합,(0.31%),39219
2020/12/11 16:40:29,16050,보합,(0.31%),39219
2020/12/11 16:59:35,16050,보합,(0.31%),39219
2020/12/12 05:31:26,16050,보합,(0.31%),39219
2020/12/12 05:33:31,16050,보합,(0.31%),39219
2020/12/14 14:35:16,16200,보합,(0.93%),37642
2020/12/14 14:47:56,16150,보합,(0.62%),40041
2020/12/14 15:00:37,16100,보합,(0.31%),40183
2020/12/14 15:15:55,16100,보합,(0.31%),40703
2020/12/14 15:30:47,16150,보합,(0.62%),40726
2020/12/14 16:06:51,16100,보합,(0.31%),41064
2020/12/14 16:20:35,16100,보합,(0.31%),41064
2020/12/14 16:53:41,16100,보합,(0.31%),41064
2020/12/21 23:57:43,17000,상승,(2.72%),99989
2021/01/04 14:27:18,16500,상승,(1.23%),37137
2021/01/04 14:40:38,16550,상승,(1.53%),38043
