2020/12/06 23:04:44,3890,상승,10,18627
2020/12/07 11:21:44,3890,보합,0,6587
2020/12/07 18:50:20,3915,보합,0.6426735218509005,15026
2020/12/07 19:14:06,3915,보합,(0.64%),15026
2020/12/09 14:47:16,3855,보합,(0.26%),5302
2020/12/09 14:54:59,3855,보합,(0.26%),5302
2020/12/09 15:11:22,3855,보합,(0.26%),5783
2020/12/09 15:26:21,3850,보합,(0.13%),6232
2020/12/09 16:10:09,3865,보합,(0.52%),6434
2020/12/09 16:46:14,3865,보합,(0.52%),6434
2020/12/09 16:50:10,3865,보합,(0.52%),6434
2020/12/11 16:22:19,3860,하락,(-0.39%),10046
2020/12/11 16:39:21,3860,하락,(-0.39%),10046
2020/12/11 16:58:14,3860,하락,(-0.39%),10046
2020/12/12 05:30:38,3860,하락,(-0.39%),10046
2020/12/12 05:32:45,3860,하락,(-0.39%),10046
2020/12/14 14:34:27,3855,하락,(-0.13%),22630
2020/12/14 14:47:04,3855,하락,(-0.13%),22630
2020/12/14 14:59:39,3835,하락,(-0.65%),22643
2020/12/14 15:14:52,3835,하락,(-0.65%),22706
2020/12/14 15:29:42,3855,하락,(-0.13%),23379
2020/12/14 16:05:58,3835,하락,(-0.65%),24824
2020/12/14 16:19:30,3835,하락,(-0.65%),24824
2020/12/14 16:38:34,3835,하락,(-0.65%),24824
2020/12/14 16:52:32,3835,하락,(-0.65%),24824
2020/12/21 23:56:48,4110,하락,(-1.08%),159877
2021/01/04 14:26:20,4080,하락,(-0.12%),20629
2021/01/04 14:39:50,4055,하락,(-0.73%),24784
