2020/12/07 12:16:01,744,보합,0,-
2020/12/07 18:53:19,744,하강,0.0,0
2020/12/07 19:18:06,744,하락,(0.0%),0
2020/12/09 14:50:14,744,하락,(0.0%),0
2020/12/09 14:58:03,744,하락,(0.0%),0
2020/12/09 15:13:41,744,하락,(0.0%),0
2020/12/09 15:29:22,744,하락,(0.0%),0
2020/12/09 16:49:32,744,하락,(0.0%),0
2020/12/09 16:52:39,744,하락,(0.0%),0
2020/12/11 16:26:10,744,하락,(0.0%),0
2020/12/11 16:43:04,744,하락,(0.0%),0
2020/12/11 17:02:21,744,하락,(0.0%),0
2020/12/12 05:33:04,744,하락,(0.0%),0
2020/12/12 05:35:08,744,하락,(0.0%),0
2020/12/14 14:37:04,744,하락,(0.0%),0
2020/12/14 14:49:41,744,하락,(0.0%),0
2020/12/14 15:02:54,744,하락,(0.0%),0
2020/12/14 15:17:55,744,하락,(0.0%),0
2020/12/14 15:32:45,744,하락,(0.0%),0
2020/12/14 16:08:44,744,하락,(0.0%),0
2020/12/14 16:22:49,744,하락,(0.0%),0
2020/12/14 16:56:04,744,하락,(0.0%),0
2020/12/21 23:59:40,744,하락,(0.0%),0
2021/01/04 14:29:14,2000,상승,(4.17%),292404
2021/01/04 14:42:29,2000,상승,(4.17%),297117
