2020/12/07 11:40:14,2195,º¸ÇÕ,0,1
2020/12/07 18:51:21,2390,»ó½Â,8.883826879271073,323
2020/12/07 19:15:21,2390,»ó½Â,(8.88%),323
2020/12/09 14:48:12,2500,»ó½Â,(4.6%),1982
2020/12/09 14:56:01,2500,»ó½Â,(4.6%),1982
2020/12/09 15:12:07,2500,»ó½Â,(4.6%),1982
2020/12/09 15:27:20,2500,»ó½Â,(4.6%),1982
2020/12/09 16:11:16,2500,»ó½Â,(4.6%),1982
2020/12/09 16:47:27,2500,»ó½Â,(4.6%),1982
2020/12/09 16:51:02,2500,»ó½Â,(4.6%),1982
2020/12/11 16:23:42,2110,ÇÏ¶ô,(-12.08%),2009
2020/12/11 16:40:32,2110,ÇÏ¶ô,(-12.08%),2009
2020/12/11 16:59:37,2110,ÇÏ¶ô,(-12.08%),2009
2020/12/12 05:31:27,2110,ÇÏ¶ô,(-12.08%),2009
2020/12/12 05:33:32,2110,ÇÏ¶ô,(-12.08%),2009
2020/12/14 14:35:17,2150,»ó½Â,(1.9%),1121
2020/12/14 14:47:57,2150,»ó½Â,(1.9%),1121
2020/12/14 15:00:39,2150,»ó½Â,(1.9%),1121
2020/12/14 15:15:57,2150,»ó½Â,(1.9%),1121
2020/12/14 15:30:49,2135,»ó½Â,(1.18%),1223
2020/12/14 16:06:52,2135,»ó½Â,(1.18%),1223
2020/12/14 16:20:37,2135,»ó½Â,(1.18%),1223
2020/12/14 16:53:43,2135,»ó½Â,(1.18%),1223
2020/12/21 23:57:45,2315,ÇÏ¶ô,(-0.43%),102
2021/01/04 14:27:21,2590,»ó½Â,(3.6%),1240
2021/01/04 14:40:40,2590,»ó½Â,(3.6%),1240
