2020/12/07 18:53:49,13400,ÇÏ°­,-4.62633451957295,371343
2020/12/07 19:18:45,13400,ÇÏ¶ô,(-4.63%),371343
2020/12/09 14:50:46,14000,»ó½Â,(2.19%),829915
2020/12/09 14:58:38,14000,»ó½Â,(2.19%),834054
2020/12/09 15:14:06,14050,»ó½Â,(2.55%),847444
2020/12/09 15:29:54,13950,»ó½Â,(1.82%),856908
2020/12/09 16:49:57,14000,»ó½Â,(2.19%),862571
2020/12/09 16:52:57,14000,»ó½Â,(2.19%),862571
2020/12/11 16:26:44,14300,»ó½Â,(2.88%),340349
2020/12/11 16:43:39,14300,»ó½Â,(2.88%),340349
2020/12/11 17:02:57,14300,»ó½Â,(2.88%),340349
2020/12/12 05:33:28,14300,»ó½Â,(2.88%),340349
2020/12/12 05:35:29,14300,»ó½Â,(2.88%),340349
2020/12/14 14:37:27,14250,ÇÏ¶ô,(-0.35%),350400
2020/12/14 14:50:05,14300,ÇÏ¶ô,(0.0%),359485
2020/12/14 15:03:32,14300,ÇÏ¶ô,(0.0%),373264
2020/12/14 15:18:21,14300,ÇÏ¶ô,(0.0%),383665
2020/12/14 15:33:17,14150,ÇÏ¶ô,(-1.05%),389707
2020/12/14 16:09:12,14150,ÇÏ¶ô,(-1.05%),390129
2020/12/14 16:23:25,14150,ÇÏ¶ô,(-1.05%),390129
2020/12/14 16:56:38,14150,ÇÏ¶ô,(-1.05%),390129
2020/12/22 00:00:09,13000,ÇÏ¶ô,(-0.38%),286909
2021/01/04 14:29:44,12300,ÇÏ¶ô,(-3.53%),154369
2021/01/04 14:42:55,12250,ÇÏ¶ô,(-3.92%),158272
