2020/12/07 18:55:32,12350,ÇÏ°­,0.0,319236
2020/12/07 19:20:41,12350,ÇÏ¶ô,(0.0%),319236
2020/12/09 14:52:27,12350,ÇÏ¶ô,(-0.8%),315434
2020/12/09 15:00:20,12400,ÇÏ¶ô,(-0.4%),320761
2020/12/09 15:15:17,12400,ÇÏ¶ô,(-0.4%),330180
2020/12/09 15:31:40,12450,ÇÏ¶ô,(0.0%),340704
2020/12/09 16:51:25,12450,ÇÏ¶ô,(0.0%),341688
2020/12/09 16:54:05,12450,ÇÏ¶ô,(0.0%),341688
2020/12/11 16:28:47,13700,»ó½Â,(6.61%),1713606
2020/12/11 16:45:46,13700,»ó½Â,(6.61%),1713606
2020/12/12 05:34:53,13700,»ó½Â,(6.61%),1713606
2020/12/12 05:36:40,13700,»ó½Â,(6.61%),1713606
2020/12/14 14:38:49,14150,»ó½Â,(3.28%),2167452
2020/12/14 14:51:29,14150,»ó½Â,(3.28%),2202875
2020/12/14 15:05:24,14200,»ó½Â,(3.65%),2224445
2020/12/14 15:20:02,14150,»ó½Â,(3.28%),2266107
2020/12/14 15:34:56,14100,»ó½Â,(2.92%),2283423
2020/12/14 16:10:33,14100,»ó½Â,(2.92%),2287761
2020/12/14 16:25:45,14100,»ó½Â,(2.92%),2287761
2020/12/14 16:58:39,14100,»ó½Â,(2.92%),2287761
2020/12/22 00:01:45,12900,ÇÏ¶ô,(-3.01%),612132
2021/01/04 14:31:27,12850,ÇÏ¶ô,(-2.28%),498750
2021/01/04 14:44:22,13000,ÇÏ¶ô,(-1.14%),521862
