2020/12/07 11:58:12,19700,ÇÏ¶ô,50,2489
2020/12/07 18:52:19,19800,º¸ÇÕ,0.25316455696202667,6741
2020/12/07 19:16:43,19800,º¸ÇÕ,(0.25%),6741
2020/12/09 14:49:08,19850,º¸ÇÕ,(0.51%),3148
2020/12/09 14:57:02,19900,º¸ÇÕ,(0.76%),3348
2020/12/09 15:12:51,19800,º¸ÇÕ,(0.25%),3825
2020/12/09 15:28:19,19800,º¸ÇÕ,(0.25%),3825
2020/12/09 16:12:29,19800,º¸ÇÕ,(0.25%),3825
2020/12/09 16:48:29,19800,º¸ÇÕ,(0.25%),3825
2020/12/09 16:51:52,19800,º¸ÇÕ,(0.25%),3825
2020/12/11 16:25:00,20950,»ó½Â,(4.75%),20937
2020/12/11 16:41:48,20950,»ó½Â,(4.75%),20937
2020/12/11 17:00:58,20950,»ó½Â,(4.75%),20937
2020/12/12 05:32:14,20950,»ó½Â,(4.75%),20937
2020/12/12 05:34:21,20950,»ó½Â,(4.75%),20937
2020/12/14 14:36:12,21200,»ó½Â,(1.19%),13353
2020/12/14 14:48:54,21200,»ó½Â,(1.19%),13353
2020/12/14 15:01:41,21200,»ó½Â,(1.19%),13357
2020/12/14 15:16:58,21200,»ó½Â,(1.19%),14107
2020/12/14 15:31:47,21300,»ó½Â,(1.67%),14411
2020/12/14 16:07:48,21300,»ó½Â,(1.67%),14411
2020/12/14 16:21:40,21300,»ó½Â,(1.67%),14411
2020/12/14 16:54:52,21300,»ó½Â,(1.67%),14411
2020/12/21 23:58:42,29600,»ó½Â,(7.44%),31757
2021/01/04 14:28:18,32800,»ó½Â,(1.23%),6455
2021/01/04 14:41:37,32800,»ó½Â,(1.23%),6470
