2020/12/06 22:57:22,14050,보합,0,165074
2020/12/07 11:18:39,14000,하락,50,66555
2020/12/07 18:50:14,13900,하강,-1.0676156583629859,163321
2020/12/07 19:13:59,13900,하락,(-1.07%),163321
2020/12/09 14:47:10,13700,하락,(-0.72%),51154
2020/12/09 14:54:54,13700,하락,(-0.72%),53045
2020/12/09 15:11:18,13700,하락,(-0.72%),54573
2020/12/09 15:26:14,13700,하락,(-0.72%),61310
2020/12/09 16:10:01,13650,하락,(-1.09%),63439
2020/12/09 16:46:07,13650,하락,(-1.09%),63439
2020/12/09 16:50:04,13650,하락,(-1.09%),63439
2020/12/11 16:22:11,13500,하락,(-0.37%),54240
2020/12/11 16:39:14,13500,하락,(-0.37%),54240
2020/12/11 16:58:05,13500,하락,(-0.37%),54240
2020/12/12 05:30:33,13500,하락,(-0.37%),54240
2020/12/12 05:32:40,13500,하락,(-0.37%),54240
2020/12/14 14:34:19,13100,하락,(-2.96%),115954
2020/12/14 14:46:59,13000,하락,(-3.7%),117748
2020/12/14 14:59:32,13000,하락,(-3.7%),133285
2020/12/14 15:14:45,13050,하락,(-3.33%),142522
2020/12/14 15:29:37,13100,하락,(-2.96%),149001
2020/12/14 16:05:52,13050,하락,(-3.33%),151731
2020/12/14 16:19:24,13050,하락,(-3.33%),151731
2020/12/14 16:38:26,13050,하락,(-3.33%),151731
2020/12/14 16:52:25,13050,하락,(-3.33%),151731
2020/12/21 23:56:43,13100,하락,(-0.76%),68601
2021/01/04 14:26:13,12600,하락,(-1.95%),35007
2021/01/04 14:39:46,12700,하락,(-1.17%),46061
